TIME 24 HOURS,BASE/SUB BASE,COUNTY,ROAD,PLACE,BRIEF ACCIDENT DETAILS,GENDER,AGE,CAUSE CODE,VICTIM,NO.,Date DD/MM/YYYY,
2100,BUNGOMA,BUNGOMA,BUNGOMA WEBUYE,MWABANGA AREA,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,47,PEDESTRIAN,1,10/04/2016,
530,EMBAKASI,NAIROBI,EASTERN BY PASS,UTAWALA VILLAGE,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,63,PEDESTRIAN,1,09/04/2016,
600,KITUI,KITUI,KITUI MACHAKOS,TIVA BRIDGE,THE VEHICLE KNOCKED DOWN THE VICTIM,M,25,63,PEDESTRIAN,1,09/04/2016,
940,CENTRAL,NAIROBI,RACE COURSE ROAD,RONALD NGALA JUNCTION,THE VEHICLE RAMMED INTO THE REAR OF THE HAND CART PUSHER,M,A,98,M/CYCLIST,1,09/04/2016,
915,MAKINDU,MAKUENI,NAIROBI MOMBASA,MBUI NZAU MARKET,HEAD ON COLLISION,M,A,10,DRIVER,1,09/04/2016,
915,MAKINDU,MAKUENI,NAIROBI MOMBASA,MBUI NZAU MARKET,HEAD ON COLLISION,M,A,10,PASSENGER,3,09/04/2016,
904,BUNGOMA,BUNGOMA,BUNGOMA MUMIAS,KEMIGET AREA,THE VEHICLE KNOCKED DOWN THE VICTIM,M,39,29,PEDESTRIAN,1,09/04/2016,
1240,KASARANI,NAIROBI,THIKA SUPERHIGHWAY,GOSHEN FLY OVER,THE VEHICLE HIT THE M/CYCLIST,M,A,11,M/CYCLIST,1,09/04/2016,
1100,MAUA,MERU,MAUA MERU,KIRINYAGA TRADING CENTRE,THE VEHICLE KNOCKED DOWN THE VICTIM,M,42,79,PEDESTRIAN,1,09/04/2016,
1430,KITALE,TRANS NZOIA,KITALE ELDORET,MAILI SABA AREA,HEAD ON COLLISION,M,21,8,M/CYCLIST,1,09/04/2016,
1500,INDO AREA,NAIROBI,MOMBASA ROAD,NEAR VISION PLAZA,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,63,PEDESTRIAN,1,09/04/2016,
1750,MARIAKANI,KILIFI,NAIROBI MOMBASA,MARIAKANI TOWNSHIP,THE VEHICLE HIT THE M/CYCLIST,M,A,26,M/CYCLIST,1,09/04/2016,
1750,MARIAKANI,KILIFI,NAIROBI MOMBASA,MARIAKANI TOWNSHIP,THE VEHICLE HIT THE M/CYCLIST,M,A,26,P/PASSENGER,1,09/04/2016,
1730,BURETI,BOMET,LITEIN SOTIK,DARAJA SITA AREA,THE CYCLE RAMMED INTO THE REAR OF THE LORRY,M,A,10,M/CYCLIST,1,09/04/2016,
1845,NYALI,MOMBASA,MOMBASA MALINDI,MSHOMORONI AREA,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,8,P/CYCLIST,1,09/04/2016,
2000,KISUMU,KISUMU,KISUMU NAIROBI,WELLS PETROL STATION,THE VEHICLE KNOCKED DOWN THE VICTIM,F,26,68,PEDESTRIAN,1,09/04/2016,
2100,MARIAKANI,KILIFI,MOMBASA NAIROBI,KIZURINI AREA,HIT AND RUN,F,A,8,P/PASSENGER,1,09/04/2016,
2230,EMBAKASI,NAIROBI,MOMBASA ROAD,NEAR AIRPORT JUNCTION,HIT AND RUN,M,32,7,PEDESTRIAN,1,09/04/2016,
1800,KISII,KISII,KISII MARANI,KEGOGI AREA,HEAD ON COLLISION,M,A,98,P/PASSENGER,1,09/04/2016,
2330,JUJA,KIAMBU,THIKA SUPERHIGHWAY,NEAR JUJA POLICE STATION,THE VEHICLE KNOCKED DOWN THE VICTIM,F,16,17,PEDESTRIAN,1,09/04/2016,
1430,BUSIA,BUSIA,KISUMU BUSIA,MULEMBE,THE CYCLE WAS HIT FROM THE REAR BY THE VEHICLE,M,31,19,M/CYCLIST,1,08/04/2016,
1600,CHANGAMWE,MOMBASA,AIRPORT,APOLO,THE VEHICLE KNOCKED DOWN THE VICTIM,M,35,16,PEDESTRIAN,1,08/04/2016,
2205,NANYUKI,,KINAMBA,NGARUA,THE VEHICLE OVERTURNED KILLING 6 VICTIMS,4F & INF,A,26,PASSENGER,6,08/04/2016,
2025,KITUI,KITUI,KITUI MACHAKOS,KALANDINI,THE VEHICLE LOST CONTROL VEERED OFF THE ROAD AND ROLLED SEVERAL TIMES,M,8,26,PASSENGER,1,08/04/2016,
2142,KINANGOP,,NJAMBINI OLKALAO,KAMAGUTA,THE VEHICLE HIT A PEDAL CYCLIST,M,33,98,P/CYCLIST,1,08/04/2016,
1030,TIGONI,KIAMBU,NAIROBI NAIVASHA,NGARARIGA STAGE,HIT AND RUN,F,A,22,P/PASSENGER,1,08/04/2016,
2100,NAIVASHA,NAKURU,KENYATTA,GUEST INN BAR,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,63,PEDESTRIAN,1,08/04/2016,
1800,GIGIRI,NAIROBI,FOREST LIMURU,INTERCHANGE,THE CYCLE WAS HIT FROM THE REAR BY THE VEHICLE,M,30,7,M/CYCLIST,1,08/04/2016,
1,STAREHE,NAIROBI,EATLEIGH,FIRST AVENUE,HIT AND RUN,M,30,98,PEDESTRIAN,1,08/04/2016,
2330,MWIGA,NYERI,NYERI NYAHURURU,SOLIO RANCH,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,61,PEDESTRIAN,1,08/04/2016,
140,MOGOTIO,NAKURU,MOGOTIO NAKURU,OLE POLES,THE VEHICLE GOT A TYRE BURST AND LOST CONTROL HITTING A TREE,M,A,79,PASSENGER,1,08/04/2016,
745,MTITO ANDEI,MAKUENI,MOMBASA NAIROBI,TSAVO RIVER AREA,HEAD ON COLLISION,M,29 & 32,11,DRIVER,1,07/04/2016,
745,MTITO ANDEI,MAKUENI,MOMBASA NAIROBI,TSAVO RIVER AREA,HEAD ON COLLISION,M,29 & 32,11,PASSENGER,1,07/04/2016,
1200,BURETI,KERICHO,KERICHO,CHEMOSIT,THE CYCLE KNOCKED DOWN THE VICTIM,M,9,29,PEDESTRIAN,1,07/04/2016,
1820,BUNGOMA,BUNGOMA,BUNGOMA MALABA,NANGENI AREA,THE VEHICLE KNOCKED DOWN THE VICTIM,M,5,60,PEDESTRIAN,1,07/04/2016,
1100,MACHAKOS,MACHAKOS,NAIROBI MOMBASA,KONZA CENTRE,HEAD ON COLLISION WITH AN ONCOMING VEHICLE,M,A,1,DRIVER,1,07/04/2016,
1245,KILIFI,KILIFI,KILIFI MOMBASA,MBOGOLO AREA,THE VEHICLE LOST CONTROL AND KNOCKED DOWN THE VICTIM,M,40,26,PEDESTRIAN,1,06/04/2016,
200,MAU SUMMIT,UASIN GISHU,ELDORET NAKURU,JOGOO TRADING CENTRE,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,63,PEDESTRIAN,1,06/04/2016,
1645,NYANDO,KISUMU,KENDU BAY KATITU,NYAKWERE AREA,THE VEHICLE LOST CONTROL VEERED OFF THE ROAD AND HIT THE M/CYCLE,M,23,98,M/CYCLIST,1,06/04/2016,
1930,STAREHE,NAIROBI,JUJA ROAD,NEAR MOI AIR BASE,HIT AND RUN,M,A,68,PEDESTRIAN,1,06/04/2016,
2030,RUNYEJES,EMBU,EMBU MERU,GAKWEGORI AREA,HIT AND RUN,M,30,98,M/CYCLIST,1,06/04/2016,
2100,THIKA,KIAMBU,GATURA THIKA,CHOMO AREA,HIT AND RUN,M,39,60,PEDESTRIAN,1,06/04/2016,
1700,ONGATA RONGAI,KAJIADO,KANDIZI OLE KASAFI,KANDIZI AREA,THE VEHICLE KNOCKED DOWN THE VICTIM,F,4,63,PEDESTRIAN,1,06/04/2016,
2330,MTITO ANDEI,MAKUENI,MOMBASA NAIROBI,NEAR AP SENIOR TRAINING COLLEGE,THE MOTOR CYCLE RAMMED INTO THE REAR OF THE TRAILER,M,52,98,M/CYCLIST,1,06/04/2016,
200,RUIRU,KIAMBU,RIURU LIMURU,MEMBLY AREA,HEAD ON COLLISION,M,A,22,DRIVER,1,06/04/2016,
730,KEIYO,MARAKWET,ITEN KABARNET,KERIO KABARNET,THE VEHICLE KNOCKED DOWN THE VICTIM,M,12,7,PEDESTRIAN,1,05/04/2016,
2330,KIKUYU,KIAMBU,NAIVASHA NAIROBI HIGHWAY,REGGEN AREA,THE VEHICLE KNOCKED DOWN THE VICTIM,M,30,68,PEDESTRIAN,1,05/04/2016,
530,KAREN,NAIROBI,NGONG ROAD,NEAR KENOL PETROL STATION,THE CYCLE HIT A PAVEMENT AND FELL DOWN,M,28,54,M/CYCLIST,1,04/04/2016,
1900,SIAYA,SIAYA,SIAYA LUANDA,SIGANA AREA,HEAD ON COLLISION WITH A PEDAL CYCLIST,M,23,8,P/CYCLIST,1,04/04/2016,
2350,SOTIK,BOMET,KAPLONG BOMET,KAPKURES AREA,HIT AND RUN,M,27,98,PEDESTRIAN,1,04/04/2016,
30,TRANS MARA,NAROK,KISII KILGORIS,KONA CHUMA AREA,THE CYCLE LOST CONTROL VEERED OFF THE ROAD AND LANDED INTO A DITCH,M,25,26,M/CYCLIST,1,04/04/2016,
310,NAIVASHA,NAKURU,NAIROBI NAKURU,NYAMATHI AREA,THE VEHICLE,M,J,26,PASSENGER,1,03/04/2016,
1400,JUJA,KIAMBU,THIUKA SUPER HIGHWAY,NEAR SEAGULL AREA,THE CYCLE RAMMED INTO THE BUS,M,28,29,M/CYCLIST,1,03/04/2016,
1730,KEIYO,ELGEYO MARAKWET,ITEN KWA HILDA RESIDENCE,KWA HILDA AREA,THE CYCLE LOST CONTROL AND HIT A PERIMETER WALL,M,28,54,M/CYCLIST,1,03/04/2016,
2000,MAKUYU,KIAMBU,KENOL SAGANA,MAKUYU BOYS SEC,HEAD ON COLLISION WITH AN ONCOMING VEHICLE,F,"22,65 & 9 MONTHS",26,PASSENGER,3,03/04/2016,
45,CENTRAL,NAIROBI,HAILE SELASIE,TECHNICAL UNIVERSITY,HIT AND RUN,M,21,7,PEDESTRIAN,1,03/04/2016,
240,KAYOLE,NAIROBI,KANGUNDO ROAD,NEAR CALTEX,THE LORRY RAMMED INTO THE REAR P/UP,M,A,29,DRIVER,1,02/04/2016,
715,RUIRU,KIAMBU,THIKA SUPERHIGHWAY,KU DRIFT,THE CANTER RAMMED INTO THE REAR SALOON CAR,M,23,29,DRIVER,1,02/04/2016,
800,NYERI,NYERI,NYERI OTHAYA,NGURA BRIDGE,THE VEHICLE LOST CONTROL AND PLUGGED INTO THE RIVER,M,A,,PASSENGER,1,02/04/2016,
1600,TIMBOROA,NAKURU,ELDORET NAKURU,NEAR MAKUTANO T/CENTRE,THE VEHICLE KNOCKED DOWN THE VICTIM WHILE CROSSING THE ROAD,M,18,63,PEDESTRIAN,1,02/04/2016,
1830,THIKA,KIAMBU,THIKA NAIROBI,BLUE POST,THE VEHICLE KNOCKED DOWN THE P/CYCLIST,M,54,52,P/CYCLIST,1,02/04/2016,
1945,DTEO DAGORETI,NAIROBI,WAIYAKI WAY,NEAR KANGEMI STAGE,THE VEHICLE KNOCKED DOWN THE VICTIM WHILE CROSSING THE ROAD,M,63,98,PEDESTRIAN,1,02/04/2016,
2030,KIAMBU,KIAMBU,NDUMBERI KANNGA,KARATINA,THE VEHICLE KNOCKED DOWN THE VICTIM WHILE CROSSING THE ROAD,F,10,11,PEDESTRIAN,1,02/04/2016,
2215,DTEO MAKINGENI,NAIROBI,HESHIMA,NEAR PCEA BAHATI,THE VEHICLE KNOCKED DOWN THE VICTIM WHILE CROSSING THE ROAD,M,45,63,PEDESTRIAN,1,02/04/2016,
2100,KENDU BAY,HOMA BAY,KATITU KENDU BAY,NEAR KENDU BAY TRADING CENTRE,THE VEHICLE KNOCKED DOWN THE P/CYCLIST,M,55,38,P/CYCLIST,1,02/04/2016,
1230,KITALE,TRANS NZOIA,KITALE ELDORET,MAILI SABA TRADING CENTRE,THE VICTIM JUMPED OFF FROM A MOVING VEHICLE,M,25,71,PASSENGER,1,01/04/2016,
100,NAROMORU,NYERI,NYERI NANYUKI,TIGITHU AREA,THE MATATU KNOCKED DOWN THE M/CYCLIST,M,60,9,M/CYCLIST,1,01/04/2016,
700,CHANGAMWE,MOMBASA,MOMBASA NAIROBI,BANGLADESH,HEAD ON COLLISION,M,24,11,DRIVER,1,01/04/2016,
1515,KINANGOP,NYANDARUA,NJABINI OLKALAU,MUNYAKA AREA,THE MATATU ROLLED SEVERAL TIMES,F,A,79,PASSENGER,2,01/04/2016,
2110,JUJA,KIAMBU,THIKA SUPERHIGHWAY,NEAR KALIMONI JUNIOR SCHOOL,THE VICTIM WAS KNOCKED DOWN BY THE UNKNOWN M/V,M,A,63,PEDESTRIAN,1,01/04/2016,
2040,KAJIADO,KAJIADO,KAJIADO NAMANGA,NEAR BISIL TOWN,HEAD ON COLLISION,M,A,10,M/CYCLIST,1,01/04/2016,
2040,KAJIADO,KAJIADO,KAJIADO NAMANGA,NEAR BISIL TOWN,HEAD ON COLLISION,M,A,10,P/PASSENGER,1,01/04/2016,
1830,KAYOLE,NAIROBI,SPINE ROAD,NEAR SHUJAA MALL,THE VICTIM TRIED TO ALIGHT WHILE THE VEHICLE WAS IN MOTION,M,A,70,PASSENGER,1,01/04/2016,
2230,MAKONGENI,NAIROBI,JOGOO ROAD,NEAR BAMA STAGE,HIT AND RUN,M,A,63,PEDESTRIAN,1,01/04/2016,
